Zipcodes,County,Number of Registered Child Care Providers
41714,Leslie,0
40808,Leslie,0
40810,Leslie,0
41723,Leslie,0
40816,Leslie,0
40827,Leslie,0
40840,Leslie,0
40844,Leslie,0
41749,Leslie,4
40858,Leslie,0
40979,Leslie,0
41762,Leslie,0
41764,Leslie,0
40868,Leslie,1
41766,Leslie,0
40874,Leslie,0
41775,Leslie,0
41776,Leslie,0
41777,Leslie,1
41314,Owsley,1
41721,Owsley,0
41397,Lee,0
41317,Breathitt,0
41348,Breathitt,0
41366,Breathitt,0
41385,Breathitt,0
41390,Breathitt,0
41339,Breathitt,4
41712,Perry,0
41713,Perry,0
41719,Perry,1
41721,Perry,0
41722,Perry,0
41723,Perry,0
41727,Perry,0
41729,Perry,0
41731,Perry,0
41735,Perry,0
41739,Perry,0
41745,Perry,0
41746,Perry,0
41701,Perry,7
41751,Perry,0
41754,Perry,0
40972,Perry,0
41367,Perry,0
41759,Perry,0
41760,Perry,0
41763,Perry,0
41773,Perry,0
41774,Perry,0
41804,Letcher,1
41517,Letcher,0
41731,Letcher,0
41810,Letcher,0
41812,Letcher,0
40826,Letcher,0
41815,Letcher,0
41819,Letcher,0
41821,Letcher,0
41824,Letcher,0
41825,Letcher,0
41537,Letcher,1
41826,Letcher,0
41832,Letcher,0
41833,Letcher,0
41837,Letcher,3
41835,Letcher,0
41840,Letcher,0
40862,Letcher,0
41845,Letcher,0
41848,Letcher,0
41849,Letcher,0
41855,Letcher,0
41858,Letcher,2
41722,Knott,0
41725,Knott,0
41859,Knott,0
41739,Knott,0
41740,Knott,0
41817,Knott,0
41630,Knott,0
41822,Knott,0
41640,Knott,0
41828,Knott,0
41643,Knott,0
41831,Knott,0
41834,Knott,0
41836,Knott,0
41839,Knott,0
41843,Knott,0
41844,Knott,1
41861,Knott,0
41847,Knott,0
41759,Knott,0
41862,Knott,1
41772,Knott,0
41773,Knott,0
41601,Floyd,0
41602,Floyd,0
41603,Floyd,1
41604,Floyd,0
41605,Floyd,0
41606,Floyd,0
41607,Floyd,0
41612,Floyd,0
41615,Floyd,0
41616,Floyd,0
41619,Floyd,0
41621,Floyd,0
41216,Floyd,0
41622,Floyd,1
41630,Floyd,0
41631,Floyd,0
41635,Floyd,0
41636,Floyd,0
41640,Floyd,0
41642,Floyd,0
41643,Floyd,0
41645,Floyd,0
41649,Floyd,1
41647,Floyd,0
41650,Floyd,0
41653,Floyd,5
41655,Floyd,0
41659,Floyd,0
41660,Floyd,0
41663,Floyd,0
41265,Floyd,0
41666,Floyd,0
41667,Floyd,0
41669,Floyd,0
41512,Pike,0
41513,Pike,0
41514,Pike,0
41519,Pike,0
41522,Pike,0
41524,Pike,0
41526,Pike,0
41527,Pike,0
41528,Pike,0
41531,Pike,0
41534,Pike,0
41535,Pike,0
41538,Pike,0
41539,Pike,0
41540,Pike,0
41547,Pike,0
41543,Pike,0
41544,Pike,0
41548,Pike,0
41553,Pike,0
41554,Pike,0
41501,Pike,4
41555,Pike,0
41557,Pike,0
41558,Pike,0
41559,Pike,1
41560,PIke,1
41562,Pike,0
41563,Pike,0
41564,Pike,0
41503,Pike,1
41566,Pike,0
41567,Pike,0
41568,Pike,0
41571,Pike,0
41572,Pike,0
41203,Martin,0
41214,Martin,0
41224,Martin,0
41231,Martin,0
41250,Martin,0
41262,Martin,0
41267,Martin,0
41204,Johnson,0
41216,Johnson,0
41219,Johnson,0
41222,Johnson,0
41226,Johnson,0
41232,Johnson,0
41234,Johnson,0
41238,Johnson,0
41240,Johnson,5
41254,Johnson,0
41255,Johnson,0
41256,Johnson,1
41257,Johnson,0
41260,Johnson,1
41263,Johnson,0
41265,Johnson,0
41268,Johnson,0
41271,Johnson,0
41274,Johnson,2
41632,Magoffin,0
41640,Magoffin,0
41464,Magoffin,0
41465,Magoffin,1
41301,Wolfe,3
41332,Wolfe,0
41360,Wolfe,0
41365,Wolfe,0
41408,Morgan,0
41421,Morgan,0
41425,Morgan,0
41332,Morgan,0
41352,Morgan,0
40387,Morgan,0
41472,Morgan,6
40316,Menifee,1
40322,Menifee,0
40346,Menifee,0
40371,Menifee,0
40387,Menifee,0
40334,Montgomery,0
40337,Montgomery,0
40346,Montgomery,0
40353,Montgomery,17
40334,Bath,0
40346,Bath,0
40358,Bath,0
40360,Bath,3
40371,Bath,0
40374,Bath,0
41039,Fleming,0
41041,Fleming,3
41049,Fleming,1
41055,Fleming,0
41093,Fleming,0
41034,Mason,1
41044,Mason,0
41055,Mason,0
41056,Mason,11
41062,Mason,0
41044,Robertson,0
41064,Robertson,1
41002,Bracken,1
41004,Bracken,3
41043,Bracken,0
41044,Bracken,0
41135,Lewis,0
41141,Lewis,1
41166,Lewis,0
41174,Lewis,0
41189,Lewis,1
41179,Lewis,3
41093,Lewis,0
40351,Rowan,11
40313,Rowan,0
41149,Elliott,0
41171,Elliott,2
41180,Elliott,0
41132,Carter,0
41142,Carter,0
41143,Carter,5
41146,Carter,1
41164,Carter,4
41168,Carter,0
41180,Carter,0
41121,Greenup,0
41139,Greenup,1
41144,Greenup,1
41169,Greenup,6
41174,Greenup,0
41175,Greenup,1
41183,Greenup,0
41101,Boyd,7
41102,Boyd,6
41129,Boyd,1
41168,Boyd,0
41201,Lawrence,0
41124,Lawrence,0
41132,Lawrence,0
41230,Lawrence,2
41232,Lawrence,0
41159,Lawrence,0
41254,Lawrence,0
41264,Lawrence,0
41180,Lawrence,0
